Generacion,Max_Fidelidad,Max_Diversidad_Individual,Inercia_Global,Entropia_Global
62,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
63,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
64,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
65,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
66,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
67,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
68,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
69,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
70,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
71,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
72,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
73,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
74,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
75,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
76,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
77,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
78,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
79,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
80,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
81,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
82,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
83,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
84,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
85,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
86,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
87,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
88,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
89,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
90,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
91,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
92,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
93,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
94,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
